,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
1523,100663,Cheyney University of Pennsylvania,unconventional student programs,st_expand_unconventional_programs_gr,https://mba.wharton.upenn.edu/nontraditional-students/,timeout,No_meta_date,2020-10-20 23:11:55.693061,0,NoContext
1466,100663,Cheyney University of Pennsylvania,suspend retirement contributions,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/saving-for-retirement,timeout,No_meta_date,2020-10-20 23:11:55.692957,0,NoContext
1465,100663,Cheyney University of Pennsylvania,suspend retirement contributions,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/saving-for-retirement/savings-plans,timeout,No_meta_date,2020-10-20 23:11:55.692954,0,NoContext
1462,100663,Cheyney University of Pennsylvania,reduce benefits,st_reduce_staff_and_faculty_support,https://www.hr.upenn.edu/pennhr/benefits-pay/tuition,timeout,No_meta_date,2020-10-20 23:11:55.692946,0,NoContext
1603,100663,Cheyney University of Pennsylvania,food pantry,lt_improve_student_experience_gr,https://www.studentaffairs.pitt.edu/pittserves/the-pitt-pantry/,timeout,No_meta_date,2020-10-20 23:11:55.693154,0,NoContext
1611,100663,Cheyney University of Pennsylvania,salary increase,lt_improve_staff_faculty_support_gr,https://www.salary.com/job/cheyney-university-of-pennsylvania/contoller/7c9535a1-d465-4fb9-add9-1dd70740189c,timeout,No_meta_date,2020-10-20 23:11:55.693147,0,NoContext
1529,100663,Cheyney University of Pennsylvania,expand to veterans,st_expand_unconventional_programs_gr,https://www.inquirer.com/health/coronavirus/live/coronavirus-covid19-philadelphia-nj-a-de-cases-testing-updates-news-20200810.html,timeout,No_meta_date,2020-10-20 23:11:55.693089,0,NoContext
1102,102298,University of Wisconsin-Eau Claire,cut travel,st_reduce_operational_spending,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=0406767c7b4f76050276047c73071c010c7c03140f0d04776e737573770500730705727c0007037707,timeout,No_meta_date,2020-10-20 23:11:55.692675,0,NoContext
1061,102298,University of Wisconsin-Eau Claire,operational inefficiencies,st_reduce_operational_spending,https://www.blugolds.com/,timeout,No_meta_date,2020-10-20 23:11:55.692636,0,NoContext
1163,102298,University of Wisconsin-Eau Claire,unconventional student programs,st_expand_unconventional_programs_gr,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=04077170724f01067771047675001c747c0a0f14020d06006e010701767c7c070f757a740376020505,timeout,No_meta_date,2020-10-20 23:11:55.692747,0,NoContext
934,102298,University of Wisconsin-Eau Claire,add fees,st_change_tuition_(>),https://studyabroad.apps.uwec.edu/_customtags/ct_fileretrieve.cfm?file_id=05077b7c7b4f00730375057575051c75797f7014727d00756e740672050773730e0176047775067b75,timeout,No_meta_date,2020-10-20 23:11:55.692562,0,NoContext
936,102298,University of Wisconsin-Eau Claire,freeze tuition,st_change_tuition_(<=),https://profs.wisc.edu/?tag=tuition&paged=2,timeout,No_meta_date,2020-10-20 23:11:55.692578,0,NoContext
938,102298,University of Wisconsin-Eau Claire,freeze tuition,st_change_tuition_(<=),https://profs.wisc.edu/?from=xiaodiaomao.com&paged=46,timeout,No_meta_date,2020-10-20 23:11:55.692585,0,NoContext
1415,102298,University of Wisconsin-Eau Claire,faculty advancements,lt_improve_staff_faculty_support_gr,https://connect.uwec.edu/english,timeout,No_meta_date,2020-10-20 23:11:55.692919,0,NoContext
1416,102298,University of Wisconsin-Eau Claire,faculty advancements,lt_improve_staff_faculty_support_gr,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=programs.viewprogram&program_id=10159,timeout,No_meta_date,2020-10-20 23:11:55.692884,0,NoContext
1187,102298,University of Wisconsin-Eau Claire,consolidate locations,lt_liquidate_fixed_assets,https://www.wisconsin.edu/voting/live-updates-2020/,timeout,['2020-03-31T09:51:06-05:00'],2020-10-20 23:11:55.692817,0,NoContext
1209,102298,University of Wisconsin-Eau Claire,counselling servicesâ€™ student wellness,lt_improve_student_experience_gr,https://studyabroad.apps.uwec.edu/index.cfm?fuseaction=abroad.viewdocument&file_id=06007172764f017b7071750003011c737d0d7714067f08716e020301710274707305747c067574700c,timeout,No_meta_date,2020-10-20 23:11:55.692818,0,NoContext
165,102553,Arizona State University-Tempe,offer program to company employees,st_expand_unconventional_programs_gr,https://wpcarey.asu.edu/mba-programs/custom-corporate,timeout,['2016-09-14T14:22:00-07:00'],2020-10-20 23:11:55.691842,0,NoContext
130,102553,Arizona State University-Tempe,campus climate,lt_improve_student_experience_gr,https://isearch.asu.edu/profile/1118855,timeout,['2018-02-06T09:35:00-07:00'],2020-10-20 23:11:55.691791,0,NoContext
138,102553,Arizona State University-Tempe,sell buildings,lt_liquidate_fixed_assets,https://www.loopnet.com/search/apartment-buildings/tempe-az/for-sale/,timeout,No_meta_date,2020-10-20 23:11:55.691807,0,NoContext
230,102553,Arizona State University-Tempe,staff support programs,lt_improve_staff_faculty_support_gr,https://lib.asu.edu/collections,timeout,No_meta_date,2020-10-20 23:11:55.691927,0,NoContext
124,102553,Arizona State University-Tempe,expand to adults,st_expand_unconventional_programs_gr,https://biodesign.asu.edu/news/piper-trust-expands-sustainable-health-initiative,timeout,No_meta_date,2020-10-20 23:11:55.691786,0,NoContext
47,102553,Arizona State University-Tempe,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://biodesign.asu.edu/research/clinical-testing/testing,timeout,No_meta_date,2020-10-20 23:11:55.691682,0,NoContext
90,102553,Arizona State University-Tempe,eliminate advising,lt_reduction_or_elimination_of_student_support_programs,https://cidse.engineering.asu.edu/advising/,timeout,No_meta_date,2020-10-20 23:11:55.691731,0,NoContext
93,102553,Arizona State University-Tempe,reduce unnecessary spending,st_reduce_operational_spending,https://sustainability.asu.edu/news/archive/growth-in-plastic-waste-could-exceed-mitigation-efforts,timeout,No_meta_date,2020-10-20 23:11:55.691743,0,NoContext
80,102553,Arizona State University-Tempe,suspend capital projects,st_deferred_infrastructure_improvement,https://isearch.asu.edu/profile/1450867,timeout,['2014-11-04T13:52:02-07:00'],2020-10-20 23:11:55.691726,0,NoContext
416,102614,Christopher Newport University,administrative budget cuts,lt_reduction_or_elimination_of_administrative_departments,http://www.baltimoresun.com/dp-nws-cnu-trible-announcement-20161202-story.html,timeout,No_meta_date,2020-10-20 23:11:55.692143,0,NoContext
459,102614,Christopher Newport University,food pantry,lt_improve_student_experience_gr,https://hrfoodbank.org/christoper-newport-university-and-smithfield-giving-back/,timeout,No_meta_date,2020-10-20 23:11:55.692196,0,NoContext
460,102614,Christopher Newport University,food pantry,lt_improve_student_experience_gr,https://williamsburghouseofmercy.org/tag/christopher-newport-university/,timeout,No_meta_date,2020-10-20 23:11:55.692198,0,NoContext
434,102614,Christopher Newport University,close buildings,lt_liquidate_fixed_assets,https://www.baltimoresun.com/dp-nws-nn-cnu-dorms-20170320-story.html,timeout,['2020-08-06T14:05:46-0400'],2020-10-20 23:11:55.692157,0,NoContext
343,102614,Christopher Newport University,program cuts,lt_reduction_or_elimination_of_academic_departments_programs,https://www.chicagotribune.com/dp-nws-cnu-budget-cuts-20161114-story.html,timeout,['2020-09-02T14:33:54-0400'],2020-10-20 23:11:55.692061,0,NoContext
798,102632,Taylor University,expand to adults,st_expand_unconventional_programs_gr,https://umo.edu/umo-introduces-new-expanding-academic-programs/,timeout,['2019-03-06T19:14:03+00:00'],2020-10-20 23:11:55.692468,0,NoContext
813,102632,Taylor University,offer amenities,lt_improve_student_experience_gr,https://www.showmegrantcounty.com/tag/lodging-near-taylor-university/,timeout,No_meta_date,2020-10-20 23:11:55.692477,0,NoContext
846,102632,Taylor University,food pantry,lt_improve_student_experience_gr,https://www.campbellsville.edu/news/campbellsville-universitys-physical-plant-collects-food-items-for-taylor-county-food-pantry/,timeout,No_meta_date,2020-10-20 23:11:55.692498,0,NoContext
791,102632,Taylor University,expand to veterans,st_expand_unconventional_programs_gr,https://academic.oup.com/milmed/article-abstract/182/9-10/e1900/4627031,timeout,No_meta_date,2020-10-20 23:11:55.692466,0,NoContext
720,102632,Taylor University,suspend appointments,lt_reduction_or_elimination_of_student_support_programs,https://wvumedicine.org/physicians/primary-care/harpers-ferry-family-medicine/,timeout,['2016-11-23T15:59:45Z'],2020-10-20 23:11:55.692370,0,NoContext
745,102632,Taylor University,cut sports,lt_reduction_of_athletic_spending_programs,https://www.taylortrojans.com/sport/womens-tennis,timeout,No_meta_date,2020-10-20 23:11:55.692401,0,NoContext
756,102632,Taylor University,athletics spending cuts,lt_reduction_of_athletic_spending_programs,https://www.taylortrojans.com/sport/volleyball,timeout,No_meta_date,2020-10-20 23:11:55.692413,0,NoContext
757,102632,Taylor University,athletics spending cuts,lt_reduction_of_athletic_spending_programs,https://www.taylortrojans.com/sport/football,timeout,No_meta_date,2020-10-20 23:11:55.692415,0,NoContext
