unit_id,school_name,state,fips_county_code
240727,University of Wyoming,WY,56001
237215,Bluefield State College,WV,54055
237330,Concord University,WV,54055
237367,Fairmont State University,WV,54049
237385,Glenville State College,WV,54021
237525,Marshall University,WV,54011
237792,Shepherd University,WV,54037
237932,West Liberty University,WV,54069
237686,West Virginia University at Parkersburg,WV,54107
237950,West Virginia University Institute of Technology,WV,54081
237701,Potomac State College of West Virginia University,WV,54057
237899,West Virginia State University,WV,54039
234827,Central Washington University,WA,53037
235097,Eastern Washington University,WA,53063